"scenario","replicate","time_point","method","estimate","se","ci_lower","ci_upper","truth","bias","covers","runtime"
"dep_censor",9,180,"TMLE-CF",0,0.357054746991987,-0.699827304104295,0.699827304104295,0.00455831132097525,-0.00455831132097525,1,0.280000000002474
"dep_censor",9,180,"AIPW",0.000534290164642199,0.000322617347106451,-9.80398356864451e-05,0.00116662016497084,0.00455831132097525,-0.00402402115633305,0,0.0400000000008731
"dep_censor",9,180,"IPTW",0.0130538741402727,0.00460360806049327,0.00403080234170589,0.0220769459388395,0.00455831132097525,0.00849556281929746,1,0
"dep_censor",9,180,"G-computation",6.46527830531225e-05,2.19910578959845e-27,6.46527830531225e-05,6.46527830531225e-05,0.00455831132097525,-0.00449365853792212,0,5.68999999999869
"dep_censor",9,180,"Cox PH",0,NA,NA,NA,0.00455831132097525,-0.00455831132097525,NA,0.700000000000728
"dep_censor",10,90,"TMLE",0.035280531755453,0.00894093505186575,0.0177562990537961,0.0528047644571099,0.00350639332382711,0.0317741384316259,0,0.0499999999992724
"dep_censor",10,90,"TMLE-CF",0,0.0459449221895434,-0.0900520474915052,0.0900520474915052,0.00350639332382711,-0.00350639332382711,1,0.220000000001164
"dep_censor",10,90,"AIPW",0.0352561412782881,0.00896669626123533,0.0176814166062668,0.0528308659503093,0.00350639332382711,0.031749747954461,0,0.0399999999972351
"dep_censor",10,90,"IPTW",0.0195967441813217,0.00450151142034927,0.0107737817974372,0.0284197065652063,0.00350639332382711,0.0160903508574946,0,0.0200000000004366
"dep_censor",10,90,"G-computation",0.0353154805914356,0,0.0353154805914356,0.0353154805914356,0.00350639332382711,0.0318090872676085,0,5.47000000000116
"dep_censor",10,90,"Cox PH",0,NA,NA,NA,0.00350639332382711,-0.00350639332382711,NA,0.549999999999272
"dep_censor",10,180,"TMLE",0.0359183205275437,0.00891914122428626,0.0184368037279427,0.0533998373271448,0.00455831132097525,0.0313600092065685,0,0.0600000000013097
"dep_censor",10,180,"TMLE-CF",0.0769178121323234,0.121236189326871,-0.160705118948343,0.31454074321299,0.00455831132097525,0.0723595008113482,1,0.229999999999563
"dep_censor",10,180,"AIPW",0.0360207391552852,0.00893913402221353,0.0185000364717467,0.0535414418388237,0.00455831132097525,0.03146242783431,0,0.0499999999992724
"dep_censor",10,180,"IPTW",0.0324453731236194,0.00474821651566717,0.0231388687529117,0.041751877494327,0.00455831132097525,0.0278870618026441,0,0.0199999999967986
"dep_censor",10,180,"G-computation",0.0358474463354396,1.45655058791585e-27,0.0358474463354396,0.0358474463354396,0.00455831132097525,0.0312891350144643,0,5.79999999999927
"dep_censor",10,180,"Cox PH",0,NA,NA,NA,0.00455831132097525,-0.00455831132097525,NA,0.760000000002037
"switching",1,90,"TMLE",-0.000367189902768777,0.000231951054903329,-0.000821813970379301,8.74341648417475e-05,0.00359989714579583,-0.00396708704856461,0,0.0499999999992724
"switching",1,90,"TMLE-CF",0,0.16489184497019,-0.323188016141572,0.323188016141572,0.00359989714579583,-0.00359989714579583,1,0.290000000000873
"switching",1,90,"AIPW",-1.25378643859881e-05,0.000193086589095188,-0.000390987579012557,0.000365911850240581,0.00359989714579583,-0.00361243501018182,0,0.0400000000008731
"switching",1,90,"IPTW",-0.0126283941951154,0.00536651527576886,-0.0231467641356224,-0.00211002425460845,0.00359989714579583,-0.0162282913409112,0,0.0200000000004366
"switching",1,90,"G-computation",-7.45979581778054e-05,9.21631766373948e-27,-7.45979581778054e-05,-7.45979581778054e-05,0.00359989714579583,-0.00367449510397364,0,5.32999999999811
"switching",1,90,"Cox PH",0,NA,NA,NA,0.00359989714579583,-0.00359989714579583,NA,1.66999999999825
"switching",1,180,"TMLE",-8.6341724157734e-05,0.00032054389625642,-0.000714607760820318,0.00054192431250485,0.0049790785198345,-0.00506542024399223,0,0.0499999999992724
"switching",1,180,"TMLE-CF",0,0.272793535437651,-0.534675329457796,0.534675329457796,0.0049790785198345,-0.0049790785198345,1,0.25
